iter	Passed	Remaining
0	1	119
1	1	79
2	2	64
3	2	55
4	2	50
5	3	48
6	3	45
7	3	43
8	4	42
9	4	40
10	4	39
11	5	38
12	5	37
13	5	36
14	6	35
15	6	34
16	6	33
17	7	33
18	7	32
19	8	32
20	8	31
21	8	30
22	9	30
23	9	29
24	9	29
25	10	28
26	10	28
27	11	28
28	11	28
29	11	27
30	12	27
31	12	26
32	13	26
33	13	26
34	13	25
35	14	25
36	14	24
37	15	24
38	15	24
39	15	23
40	16	23
41	16	22
42	16	22
43	17	21
44	17	21
45	18	21
46	18	21
47	19	20
48	19	20
49	20	20
50	20	19
51	20	19
52	21	18
53	21	18
54	21	17
55	22	17
56	22	17
57	22	16
58	23	16
59	23	15
60	24	15
61	24	15
62	25	14
63	25	14
64	25	13
65	26	13
66	26	13
67	27	12
68	27	12
69	27	11
70	28	11
71	28	11
72	29	10
73	30	10
74	30	10
75	30	9
76	31	9
77	31	8
78	32	8
79	32	8
80	33	7
81	33	7
82	33	6
83	34	6
84	34	6
85	34	5
86	35	5
87	35	4
88	36	4
89	36	4
90	36	3
91	37	3
92	37	2
93	38	2
94	38	2
95	38	1
96	39	1
97	39	0
98	40	0
99	40	0
